The Twelfth Issue: The verdict of standing for one hour mourning for the Muslim and the non-Muslim,438,
The Thirteenth Issue: Is the Nasrani called Christian?,440,
The Fourteenth Issue: Breast feeding a Muslim child by a disbeliever woman,442,
The Fifteenth Issue: A Muslim participation in farewell parties of a non-Muslim,444,
The Sixteenth Issue: Forbidden dealings with the disbelievers,445,
The Seventeenth Issue: Prayers in the halls prepared for shameless fun,447,
The Eighteenth Issue: Seeking livelihood and earning money by forbidden methods,449,
The nineteenth Issue: Warning of crosses in table-spreads and others,451,
The twentieth Issue: Publicity of the wedding contract at churches,452,
The Twentieth first Issue: Enabling the non-believer of the translated Holy Quran,453,
The twenty second Issue: The verdict of the non-believer’s nursing of the Muslim women,454,
The Twenty third Issue: Communicating with the Disbeliever Relative,456,
The Twenty Fourth Issue Warning against staying with the Christians and Jews and listening to them,457,
The Twenty Fifth Issue: Is it proper to say that the Jewish or the Christian who is acquainted with Islam that his soul will be damned in hell?,460,
The Twenty Sixth Issue: The one who turns back to Christianity then repents. What is the verdict?,463,
"The Twenty Seventh Issue: If the ground is covered by snow, how will the dead be buried, as in the north of Canada?",465,
The Twenty Eight Issue: Raising money to transfer dead bodies of Muslims to Islamic countries,467,
The Twenty Ninth Issue: Burning the dead body of a Muslim,468,
The Thirties Issue: Offering gifts for those who declare their Islam,469,
